wellName,MARCEL,CONRAD,SYLVAIN
512326026,6530.0,6818.0,6791.0
512322735,6585.0,6871.0,6847.5
512326909,6240.0,6499.0,6472.0
512325828,6269.0,6529.0,6505.0
512330519,6236.0,6494.0,6471.0
512325280,6487.0,6743.0,6719.0
512326560,6360.0,6628.0,6605.0
512325218,6486.0,6688.0,6663.0
512325966,6463.0,6732.0,6707.0
512322304,6326.0,6595.0,6570.0
512329420,6458.5,6735.0,6705.0
512330512,6273.0,6530.0,6504.5
512326819,6453.5,6745.0,6721.0
512324085,6485.0,6732.0,6709.5
512324588,6540.0,6812.0,6788.0
512326756,6339.5,6599.0,6578.0
512324331,6494.0,6775.0,6752.0
512326373,6517.0,6798.0,6774.0
512326117,6466.0,6744.0,6721.0
512331704,6674.5,6917.0,6891.0
512325421,6303.0,6564.0,6539.5
512323180,6360.0,6626.0,6601.0
512324022,6597.0,6868.0,6844.0
512327284,6650.0,6950.0,6926.0
512327295,6448.5,6719.0,6695.0
512326416,6520.0,6786.0,6762.0
512320982,6490.0,6766.0,6742.0
512324480,6508.0,6796.0,6772.0
512320966,6536.5,6824.0,6789.0
512325742,6358.0,6630.0,6607.0
512329242,6483.0,6758.0,6732.0
512329972,6504.0,6776.0,6752.0
512327289,6658.5,6938.0,6912.0
512329416,6449.5,6735.0,6710.0
512322803,6538.0,6820.0,6795.0
512326311,6601.5,6891.0,6867.0
512322729,6460.0,6744.0,6720.0
512331841,6592.0,6868.0,6845.0
512323162,6527.0,6812.0,6787.0
512324561,6543.0,6829.0,6808.0
512323179,6387.0,6655.0,6630.0
512326535,6363.0,6638.0,6613.0
512323378,6304.0,6562.0,6538.0
512323055,6480.0,6770.0,6736.0
512325825,6260.0,6518.0,6495.0
512327286,6681.0,6952.0,6926.0
512323998,6449.5,6719.0,6692.0
512325079,6474.5,6746.0,6721.0
512326130,6322.0,6586.0,6560.0
512323175,6380.0,6632.0,6607.0
512322734,6595.0,6870.0,6856.0
512330518,6224.0,6478.0,6454.0
512329240,6568.0,6798.0,6774.0
512322854,6290.0,6545.0,6520.0
512324060,6559.0,6847.0,6824.0
512325115,6360.0,6626.0,6604.0
512323164,6550.0,6832.0,6808.0
512322733,6587.0,6876.0,6851.0
512323138,6470.0,6725.0,6710.0
512325724,6518.5,6802.0,6777.0
512320967,6510.0,6781.0,6756.0
512329960,6466.0,6746.0,6722.0
512323851,6293.0,6549.0,6525.0
512325427,6516.0,6803.0,6779.0
512327052,6470.0,6767.0,6732.0
512320981,6450.0,6714.0,6690.0
512326905,6296.0,6562.0,6538.0
512325117,6368.0,6622.0,6598.0
512324998,6528.0,6779.0,6768.0
512323161,6546.0,6829.0,6803.0
512329967,6454.0,6733.0,6709.0
512326434,6468.0,6754.0,6731.0
512323163,6555.0,6834.0,6816.0
512326047,6476.0,6756.0,6733.0
512323178,6396.0,6664.0,6638.0
512328194,6471.0,6751.0,6726.0
512325108,6350.0,6620.0,6596.0
512325827,6264.0,6522.0,6497.0
512326211,6552.0,6784.0,6760.0
512323924,6690.0,6980.0,6957.0
512322244,6314.0,6580.0,6555.0
512328084,6471.0,6749.0,6724.0
512330489,6346.0,6617.0,6593.0
512325220,6454.0,6728.0,6703.0
512327051,6467.0,6756.0,6733.0
512324332,6586.0,6766.0,6741.0
512325047,6512.0,6759.0,6741.0
512327283,6682.0,6974.0,6948.0
512325496,6528.0,6826.0,6800.0
512326132,6358.0,6612.0,6588.0
512324094,6512.0,6755.0,6729.0
512322774,6456.0,6742.0,6718.0
512326152,6457.5,6746.0,6720.0
512330517,6251.0,6508.0,6484.0
512325281,6500.0,6784.0,6759.0
512322532,6338.0,6609.0,6583.0
512323102,6508.0,6772.0,6746.0
512330486,6414.5,6693.0,6669.0
512326320,6410.0,6694.0,6667.0
512325377,6545.0,6832.0,6808.0
